event_id,true_x,true_y,true_z,S1e,S2e,xmax,ymax,xpos,ypos
117,-44.662975,-319.49988,602.3126,117,54098,-46.65,-311.0,-45.73529499727137,-314.9102339181286
118,-62.829445,-429.0695,827.2379,105,58668,-62.2,-435.4,-64.1017990057417,-434.1559962565104
119,152.37892,173.7716,400.48895,87,53690,139.95,171.05,143.54593576431276,173.4892173617494
120,-106.765785,-306.0767,337.7798,77,52898,-108.85,-295.45,-109.43521422519478,-300.2842037220693
121,-25.093786,-238.3055,559.26575,92,52047,-31.1,-233.25,-29.471727956402365,-235.36277173913044
122,294.11078,-194.46284,230.39888,80,53977,295.45,-202.15,294.29815473606976,-198.32230431189905
123,-397.08887,274.17844,310.79538,114,66888,-388.75,264.35,-392.34593750000005,266.98879128196023
124,122.463875,388.36844,253.7269,119,55097,124.4,388.75,123.72021932966722,388.36125
125,-133.98868,141.88124,396.99414,104,51278,-139.95,139.95,-135.80854098066013,142.07789306640626
126,-148.5434,-61.911686,1025.6523,114,50538,-155.5,-62.2,-152.2046357615894,-61.38692856333615
127,-327.83145,306.93082,1131.3389,108,59631,-326.55,311.0,-326.23899243164067,310.1300699300699
128,376.03973,-280.3749,569.10443,131,63674,373.2,-279.9,373.2758605063833,-280.8774256068638
129,15.997161,-308.69147,1090.5779,109,54292,15.55,-311.0,15.075190947438015,-309.81146496815285
130,-237.15509,-386.88354,1109.3171,90,60310,-233.25,-388.75,-234.45457746478874,-387.1456349206349
131,64.51528,478.97086,742.1959,105,59687,62.2,482.05,56.3946669514974,475.99155368557234
132,178.10544,-404.01437,145.60118,98,59763,171.05,-404.3,173.86306698286356,-404.66373697916674
133,170.4793,-287.1405,870.0799,100,53112,186.6,-279.9,182.428052105167,-282.0901371485751
134,-135.76743,-464.73868,913.14264,123,57724,-139.95,-466.5,-134.29545343572443,-460.37795275590554
135,201.02501,109.63636,430.6756,91,52062,202.15,108.85,201.46396744671992,110.13058730181525
136,-349.74667,146.33682,848.5578,99,53563,-342.1,139.95,-343.30458086040665,140.44839561658026
137,-275.8697,-313.80063,1163.6136,85,56440,-279.9,-311.0,-277.61932975260413,-312.44875776397515
138,-472.2546,59.335785,265.9202,109,66556,-482.05,62.2,-475.359878469068,55.408046310249425
139,387.1299,0.8165745,279.42062,109,54947,388.75,0.0,386.98659793814437,0.0
140,-246.3973,400.0389,536.5281,102,64782,-248.8,404.3,-249.68170277703672,397.52992665816333
141,121.083954,153.57286,213.01898,98,52011,124.4,155.5,121.96445875052946,156.03620689655173
142,-124.53989,177.34875,404.69858,75,51003,-124.4,171.05,-124.40000089174742,171.95290501748366
143,-300.0122,-201.53227,764.37933,109,54747,-295.45,-202.15,-298.3207757411859,-201.33586067878764
144,107.89523,249.88536,1024.7344,116,52694,108.85,233.25,108.18829702823719,239.47
145,5.5571723,-320.89078,1149.2117,93,52594,-0.0,-326.55,2.028260869565218,-326.0043788976837
146,288.25677,80.281525,409.12018,89,53109,279.9,93.3,283.00999643961586,90.19000172490658
147,125.23662,225.054,109.44788,96,52509,124.4,233.25,125.36684024791028,229.16211340206183
148,-20.941807,-483.4111,1147.0149,110,52889,-15.55,-482.05,-17.362576793600446,-475.24686965942385
149,-152.14934,8.56205,826.33997,118,50802,-155.5,15.55,-154.40877192982458,12.714411878024828
150,110.08238,-55.280006,457.82507,80,51328,108.85,-62.2,110.65580564437371,-59.54735337650076
151,-129.92429,-180.82645,429.11615,93,52738,-139.95,-171.05,-137.20030311026227,-174.88274804773468
152,461.97253,-164.32881,775.2285,101,43144,450.95,-171.05,446.3864166259765,-163.78483749139505
153,-390.0451,105.64109,276.16852,86,55535,-388.75,108.85,-390.4479885057471,105.688735467261
154,-84.28007,380.51028,337.76816,82,55406,-93.3,373.2,-89.57163915801465,377.0875068301246
155,241.32251,414.88437,557.85266,103,64593,233.25,419.85,227.97652173913042,413.1194056268948
156,70.57652,-43.669025,385.4571,91,52327,77.75,-46.65,76.49440993788821,-46.92280799018012
157,413.62738,152.31241,316.76987,84,57828,419.85,155.5,417.74865211280616,153.97196531791909
158,-10.965482,224.64058,243.5433,78,51690,-15.55,217.7,-13.129042028095908,221.25154145794147
159,69.81609,61.83424,543.57587,88,52120,62.2,62.2,65.6364645099113,62.99517086635936
160,26.651506,-67.891045,9.240271,70,51653,31.1,-62.2,28.206976967745046,-64.99296159836854
161,103.12181,275.03616,531.09265,89,52668,108.85,279.9,107.38138801574706,277.908838225574
162,148.3888,100.72751,239.17383,78,51508,155.5,93.3,153.03475609756097,96.97545626553621
163,185.15106,354.0074,190.06487,102,55041,186.6,357.65,186.07160511202022,356.3148959381412
164,42.76749,-39.40161,539.9029,99,51009,46.65,-46.65,46.44266762288411,-43.44853030934053
165,-419.50815,-193.97836,753.1884,98,62341,-419.85,-202.15,-419.47073468464174,-200.88516381368686
166,-10.96424,-481.47156,62.066376,109,68664,-15.55,-482.05,-14.465116378133612,-477.2122184244792
167,-390.10123,-114.80419,847.27423,96,54451,-388.75,-108.85,-387.63928571428573,-111.49510225119049
168,179.03477,-209.72195,307.0386,94,52641,186.6,-217.7,182.57199137124667,-215.15379942063
169,57.933395,-419.09982,265.32248,105,56719,62.2,-419.85,61.0219701400911,-421.78277160299706
170,137.93971,373.1483,660.4905,99,56615,139.95,373.2,139.8105364743904,374.0552559204102
171,2.697995,438.67188,442.8944,94,58308,0.0,435.4,3.0912650602409637,437.24355295712184
172,-490.17892,-39.912945,188.00542,64,30812,-482.05,-31.1,-476.0373286132813,-34.758823738846125
173,-41.944897,8.993101,538.3395,92,51640,-46.65,-0.0,-45.713253839331934,3.9565088757396456
174,72.515816,108.681046,1181.6323,111,51740,77.75,108.85,76.31018518518519,109.92241299333243
175,383.815,-210.3801,621.9562,87,58848,373.2,-202.15,375.93303718335693,-205.06562164306644
176,367.2567,-53.62821,348.52386,97,54406,373.2,-46.65,371.602404032668,-49.583963166242874
177,233.7152,366.23013,805.55115,148,58295,233.25,373.2,233.25,371.35081754117397
178,190.51155,203.22104,121.80859,90,54459,186.6,202.15,188.3105036010742,202.0685829042764
179,-99.880806,-447.98676,764.645,113,61859,-108.85,-450.95,-106.29113831339002,-450.0807528478018
